Date : 2024-07-07 19:22:21
Directory : /home/hhb/YOLO_ORB_SLAM3-master
Total : 7134 files,  2792091 codes, 419361 comments, 314467 blanks, all 3525919 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/lapack_check.cpp                                                                                                       | C++              |         13 |          0 |          3 |         16 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/opencl.cpp                                                                                                             | C++              |         18 |          1 |          3 |         22 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/openvx_refenum_test.cpp                                                                                                | C++              |          5 |          0 |          1 |          6 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/runtime/cpu_vsx_aligned.cpp                                                                                            | C++              |         42 |          5 |          9 |         56 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/vtk_test.cpp                                                                                                           | C++              |          8 |          0 |          2 |         10 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/vulkan.cpp                                                                                                             | C++              |          5 |          0 |          2 |          7 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/checks/win32uitest.cpp                                                                                                        | C++              |          9 |          0 |          3 |         12 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/cl2cpp.cmake                                                                                                                  | CMake            |         67 |          0 |         28 |         95 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/copy_files.cmake                                                                                                              | CMake            |        101 |          0 |          9 |        110 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-Android.cmake                                                                                                | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-Darwin.cmake                                                                                                 | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-Linux.cmake                                                                                                  | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-WinRT.cmake                                                                                                  | CMake            |         27 |          0 |          5 |         32 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-Windows.cmake                                                                                                | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-WindowsCE.cmake                                                                                              | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-WindowsPhone.cmake                                                                                           | CMake            |          5 |          0 |          2 |          7 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-WindowsStore.cmake                                                                                           | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/cmake/platforms/OpenCV-iOS.cmake                                                                                                    | CMake            |          1 |          0 |          1 |          2 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_eye.xml                                                                                               | XML              |     12,170 |         43 |          1 |     12,214 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_eye_tree_eyeglasses.xml                                                                               | XML              |     22,576 |         43 |          1 |     22,620 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_frontalcatface.xml                                                                                    | XML              |     14,287 |         95 |          1 |     14,383 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_frontalcatface_extended.xml                                                                           | XML              |     13,299 |         95 |          1 |     13,395 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_frontalface_alt.xml                                                                                   | XML              |     24,307 |         43 |          1 |     24,351 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_frontalface_alt2.xml                                                                                  | XML              |     20,676 |         43 |          1 |     20,720 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_frontalface_alt_tree.xml                                                                              | XML              |     96,440 |         44 |          1 |     96,485 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_frontalface_default.xml                                                                               | XML              |     33,271 |         43 |          1 |     33,315 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_fullbody.xml                                                                                          | XML              |     16,893 |        137 |          1 |     17,031 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_lefteye_2splits.xml                                                                                   | XML              |      7,346 |         44 |          1 |      7,391 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_licence_plate_rus_16stages.xml                                                                        | XML              |      1,205 |        199 |          1 |      1,405 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_lowerbody.xml                                                                                         | XML              |     13,919 |        137 |          1 |     14,057 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_profileface.xml                                                                                       | XML              |     29,647 |         43 |          1 |     29,691 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_righteye_2splits.xml                                                                                  | XML              |      7,363 |         44 |          1 |      7,408 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_russian_plate_number.xml                                                                              | XML              |      2,636 |         20 |          1 |      2,657 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_smile.xml                                                                                             | XML              |      6,684 |         45 |          1 |      6,730 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades/haarcascade_upperbody.xml                                                                                         | XML              |     27,997 |        137 |          1 |     28,135 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_eye.xml                                                                                          | XML              |     13,253 |      2,199 |          1 |     15,453 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_eye_tree_eyeglasses.xml                                                                          | XML              |     29,681 |      3,477 |          1 |     33,159 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_frontalface_alt.xml                                                                              | XML              |     21,826 |      4,335 |          1 |     26,162 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_frontalface_alt2.xml                                                                             | XML              |     20,346 |      3,204 |          1 |     23,551 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_frontalface_alt_tree.xml                                                                         | XML              |     86,466 |     17,027 |          1 |    103,494 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_frontalface_default.xml                                                                          | XML              |     29,818 |      5,894 |          1 |     35,713 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_fullbody.xml                                                                                     | XML              |     15,023 |      3,095 |          1 |     18,119 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_lefteye_2splits.xml                                                                              | XML              |      8,641 |      1,162 |          1 |      9,804 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_lowerbody.xml                                                                                    | XML              |     12,479 |      2,606 |          1 |     15,086 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_profileface.xml                                                                                  | XML              |     26,641 |      5,288 |          2 |     31,931 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_righteye_2splits.xml                                                                             | XML              |      8,665 |      1,168 |          1 |      9,834 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_smile.xml                                                                                        | XML              |      7,149 |      1,204 |          1 |      8,354 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda/haarcascade_upperbody.xml                                                                                    | XML              |     24,754 |      5,013 |          1 |     29,768 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/hogcascades/hogcascade_pedestrians.xml                                                                                         | XML              |      3,971 |         15 |          1 |      3,987 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/lbpcascades/lbpcascade_frontalcatface.xml                                                                                      | XML              |      3,674 |         94 |          1 |      3,769 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/lbpcascades/lbpcascade_frontalface.xml                                                                                         | XML              |      1,342 |        163 |          1 |      1,506 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/lbpcascades/lbpcascade_frontalface_improved.xml                                                                                | XML              |      1,385 |         83 |          2 |      1,470 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/lbpcascades/lbpcascade_profileface.xml                                                                                         | XML              |      1,252 |         23 |          1 |      1,276 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/data/lbpcascades/lbpcascade_silverware.xml                                                                                          | XML              |      1,255 |         24 |          1 |      1,280 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/DoxygenLayout.xml                                                                                                               | XML              |        180 |          7 |          6 |        193 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/faq.markdown                                                                                                                    | Markdown         |         14 |          0 |         10 |         24 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/footer.html                                                                                                                     | HTML             |         20 |          6 |          1 |         27 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/header.html                                                                                                                     | HTML             |         40 |         17 |          2 |         59 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/.eslintrc.json                                                                                           | JSON             |         22 |          0 |          1 |         23 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_basic_ops_copymakeborder.html                                                                         | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_basic_ops_roi.html                                                                                    | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_bg_subtraction.html                                                                                   | HTML             |        117 |          0 |          9 |        126 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_camshift.html                                                                                         | HTML             |        154 |          0 |         19 |        173 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_canny.html                                                                                            | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_colorspaces_cvtColor.html                                                                             | HTML             |         64 |          0 |          4 |         68 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_colorspaces_inRange.html                                                                              | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_approxPolyDP.html                                                                    | HTML             |         83 |          0 |          4 |         87 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_area.html                                                                            | HTML             |         59 |          0 |          5 |         64 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_boundingRect.html                                                                    | HTML             |         76 |          0 |          4 |         80 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_convexHull.html                                                                      | HTML             |         83 |          0 |          4 |         87 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_fitEllipse.html                                                                      | HTML             |         74 |          0 |          4 |         78 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_fitLine.html                                                                         | HTML             |         83 |          0 |          4 |         87 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_minAreaRect.html                                                                     | HTML             |         78 |          0 |          4 |         82 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_minEnclosingCircle.html                                                              | HTML             |         74 |          0 |          4 |         78 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_moments.html                                                                         | HTML             |         59 |          0 |          4 |         63 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_features_perimeter.html                                                                       | HTML             |         59 |          0 |          4 |         63 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contour_properties_transpose.html                                                                     | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contours_begin_contours.html                                                                          | HTML             |         74 |          0 |          4 |         78 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contours_more_functions_convexityDefects.html                                                         | HTML             |         84 |          0 |          4 |         88 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_contours_more_functions_shape.html                                                                    | HTML             |         79 |          0 |          4 |         83 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_example_style.css                                                                                     | CSS              |         70 |          0 |          1 |         71 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_face_detection.html                                                                                   | HTML             |         97 |          0 |          4 |        101 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_face_detection_camera.html                                                                            | HTML             |        133 |          0 |         10 |        143 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_filtering_GaussianBlur.html                                                                           | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_filtering_bilateralFilter.html                                                                        | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_filtering_blur.html                                                                                   | HTML             |         67 |          0 |          4 |         71 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_filtering_filter.html                                                                                 | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_filtering_medianBlur.html                                                                             | HTML             |         64 |          0 |          4 |         68 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_fourier_transform_dft.html                                                                            | HTML             |        113 |          0 |         16 |        129 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_geometric_transformations_getAffineTransform.html                                                     | HTML             |         71 |          0 |          4 |         75 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_geometric_transformations_resize.html                                                                 | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_geometric_transformations_rotateWarpAffine.html                                                       | HTML             |         67 |          0 |          4 |         71 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_geometric_transformations_warpAffine.html                                                             | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_geometric_transformations_warpPerspective.html                                                        | HTML             |         72 |          0 |          4 |         76 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_grabcut_grabCut.html                                                                                  | HTML             |         82 |          0 |          4 |         86 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_gradients_Laplacian.html                                                                              | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_gradients_Sobel.html                                                                                  | HTML             |         76 |          0 |          4 |         80 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_gradients_absSobel.html                                                                               | HTML             |         75 |          0 |          4 |         79 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_histogram_backprojection_calcBackProject.html                                                         | HTML             |         87 |          0 |          4 |         91 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_histogram_begins_calcHist.html                                                                        | HTML             |         85 |          0 |          4 |         89 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_histogram_equalization_createCLAHE.html                                                               | HTML             |         70 |          0 |          4 |         74 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_histogram_equalization_equalizeHist.html                                                              | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_houghcircles_HoughCirclesP.html                                                                       | HTML             |         76 |          0 |          4 |         80 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_houghlines_HoughLines.html                                                                            | HTML             |         80 |          0 |          4 |         84 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_houghlines_HoughLinesP.html                                                                           | HTML             |         74 |          0 |          4 |         78 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_image_arithmetics_bitwise.html                                                                        | HTML             |        105 |          0 |         10 |        115 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_image_display.html                                                                                    | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_imgproc_camera.html                                                                                   | HTML             |        637 |          0 |         64 |        701 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_meanshift.html                                                                                        | HTML             |        152 |          0 |         19 |        171 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_blackHat.html                                                                       | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_closing.html                                                                        | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_dilate.html                                                                         | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_erode.html                                                                          | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_getStructuringElement.html                                                          | HTML             |         68 |          0 |          4 |         72 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_gradient.html                                                                       | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_opening.html                                                                        | HTML             |         67 |          0 |          4 |         71 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_morphological_ops_topHat.html                                                                         | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_optical_flow_dense.html                                                                               | HTML             |        149 |          0 |         15 |        164 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_optical_flow_lucas_kanade.html                                                                        | HTML             |        168 |          0 |         23 |        191 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_pyramids_pyrDown.html                                                                                 | HTML             |         64 |          0 |          4 |         68 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_pyramids_pyrUp.html                                                                                   | HTML             |         64 |          0 |          4 |         68 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_setup_usage.html                                                                                      | HTML             |         57 |          0 |          4 |         61 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_template_matching_matchTemplate.html                                                                  | HTML             |         86 |          0 |          4 |         90 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_thresholding_adaptiveThreshold.html                                                                   | HTML             |         66 |          0 |          4 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_thresholding_threshold.html                                                                           | HTML             |         65 |          0 |          4 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_trackbar.html                                                                                         | HTML             |         85 |          0 |          5 |         90 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_video_display.html                                                                                    | HTML             |        112 |          0 |          9 |        121 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_watershed_background.html                                                                             | HTML             |         72 |          0 |          6 |         78 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_watershed_distanceTransform.html                                                                      | HTML             |         77 |          0 |          6 |         83 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_watershed_foreground.html                                                                             | HTML             |         78 |          0 |          6 |         84 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_watershed_threshold.html                                                                              | HTML             |         66 |          0 |          6 |         72 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/js_watershed_watershed.html                                                                              | HTML             |        107 |          0 |          4 |        111 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets/utils.js                                                                                                 | JavaScript       |        150 |          1 |         14 |        165 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_basic_ops/js_basic_ops.markdown                                                                         | Markdown         |        213 |          0 |         54 |        267 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_image_arithmetics/js_image_arithmetics.markdown                                                         | Markdown         |         49 |          0 |         14 |         63 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_some_data_structures/js_image_arithmetics.markdown                                                      | Markdown         |         93 |          0 |         27 |        120 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_table_of_contents_core.markdown                                                                         | Markdown         |         10 |          0 |          7 |         17 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui/js_image_display/js_image_display.markdown                                                                  | Markdown         |         75 |          0 |         21 |         96 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui/js_table_of_contents_gui.markdown                                                                           | Markdown         |          8 |          0 |          7 |         15 |
