Date : 2024-07-07 19:22:21
Directory : /home/hhb/YOLO_ORB_SLAM3-master
Total : 7134 files,  2792091 codes, 419361 comments, 314467 blanks, all 3525919 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjpeg-turbo/src                                                                                                                                          |         76 |     24,335 |      8,426 |      4,622 |     37,383 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng                                                                                                                                                     |         33 |     26,511 |      8,699 |      5,854 |     41,064 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng (Files)                                                                                                                                             |         22 |     24,349 |      8,287 |      5,388 |     38,024 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng/arm                                                                                                                                                 |          3 |        459 |        106 |        125 |        690 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng/intel                                                                                                                                               |          2 |        243 |        121 |         81 |        445 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng/mips                                                                                                                                                |          2 |        760 |         70 |        107 |        937 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng/patches                                                                                                                                             |          2 |         61 |          5 |          6 |         72 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libpng/powerpc                                                                                                                                             |          2 |        639 |        110 |        147 |        896 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libtiff                                                                                                                                                    |         55 |     33,360 |      6,313 |      2,970 |     42,643 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp                                                                                                                                                    |        159 |     51,568 |      9,169 |      7,114 |     67,851 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/patches                                                                                                                                            |          1 |         22 |          0 |          1 |         23 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src                                                                                                                                                |        158 |     51,546 |      9,169 |      7,113 |     67,828 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/dec                                                                                                                                            |         16 |      5,912 |      1,035 |        808 |      7,755 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/demux                                                                                                                                          |          2 |      1,112 |        122 |        189 |      1,423 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/dsp                                                                                                                                            |         73 |     26,459 |      3,600 |      3,322 |     33,381 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/enc                                                                                                                                            |         28 |     11,712 |      2,020 |      1,539 |     15,271 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/mux                                                                                                                                            |          6 |      2,695 |        467 |        465 |      3,627 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/utils                                                                                                                                          |         26 |      2,862 |        806 |        511 |      4,179 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libwebp/src/webp                                                                                                                                           |          7 |        794 |      1,119 |        279 |      2,192 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openexr                                                                                                                                                    |        276 |     83,591 |     24,905 |     17,809 |    126,305 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openexr/Half                                                                                                                                               |          7 |     16,978 |        635 |        268 |     17,881 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openexr/Iex                                                                                                                                                |         11 |      1,290 |        640 |        366 |      2,296 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openexr/IlmImf                                                                                                                                             |        202 |     52,355 |     18,211 |     13,164 |     83,730 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openexr/IlmThread                                                                                                                                          |         18 |      1,296 |      1,058 |        491 |      2,845 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openexr/Imath                                                                                                                                              |         38 |     11,672 |      4,361 |      3,520 |     19,553 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openvx                                                                                                                                                     |          6 |      3,782 |        351 |        577 |      4,710 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openvx (Files)                                                                                                                                             |          1 |         78 |          0 |         20 |         98 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openvx/hal                                                                                                                                                 |          3 |      1,124 |         45 |        122 |      1,291 |
| Thirdparty/OpenCv 4.2.0/3rdparty/openvx/include                                                                                                                                             |          2 |      2,580 |        306 |        435 |      3,321 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf                                                                                                                                                   |        204 |     88,900 |     23,131 |     14,314 |    126,345 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf (Files)                                                                                                                                           |          1 |          3 |          0 |          1 |          4 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src                                                                                                                                               |        203 |     88,897 |     23,131 |     14,313 |    126,341 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google                                                                                                                                        |        203 |     88,897 |     23,131 |     14,313 |    126,341 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf                                                                                                                               |        203 |     88,897 |     23,131 |     14,313 |    126,341 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf (Files)                                                                                                                       |         79 |     65,391 |     12,045 |      9,311 |     86,747 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf/io                                                                                                                            |         18 |      3,685 |      2,646 |        959 |      7,290 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf/stubs                                                                                                                         |         59 |     10,094 |      4,724 |      2,193 |     17,011 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf/util                                                                                                                          |         47 |      9,727 |      3,716 |      1,850 |     15,293 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf/util (Files)                                                                                                                  |         14 |      3,216 |      1,257 |        590 |      5,063 |
| Thirdparty/OpenCv 4.2.0/3rdparty/protobuf/src/google/protobuf/util/internal                                                                                                                 |         33 |      6,511 |      2,459 |      1,260 |     10,230 |
| Thirdparty/OpenCv 4.2.0/3rdparty/quirc                                                                                                                                                      |          5 |      1,317 |        203 |        260 |      1,780 |
| Thirdparty/OpenCv 4.2.0/3rdparty/quirc/include                                                                                                                                              |          2 |        145 |         92 |         53 |        290 |
| Thirdparty/OpenCv 4.2.0/3rdparty/quirc/src                                                                                                                                                  |          3 |      1,172 |        111 |        207 |      1,490 |
| Thirdparty/OpenCv 4.2.0/3rdparty/zlib                                                                                                                                                       |         27 |      8,515 |      3,703 |      1,276 |     13,494 |
| Thirdparty/OpenCv 4.2.0/3rdparty/zlib (Files)                                                                                                                                               |         26 |      8,503 |      3,703 |      1,275 |     13,481 |
| Thirdparty/OpenCv 4.2.0/3rdparty/zlib/patches                                                                                                                                               |          1 |         12 |          0 |          1 |         13 |
| Thirdparty/OpenCv 4.2.0/apps                                                                                                                                                                |         40 |     14,940 |      1,718 |      2,977 |     19,635 |
| Thirdparty/OpenCv 4.2.0/apps/annotation                                                                                                                                                     |          1 |        182 |        103 |         33 |        318 |
| Thirdparty/OpenCv 4.2.0/apps/createsamples                                                                                                                                                  |          3 |      1,336 |        272 |        240 |      1,848 |
| Thirdparty/OpenCv 4.2.0/apps/interactive-calibration                                                                                                                                        |         13 |      1,542 |         42 |        293 |      1,877 |
| Thirdparty/OpenCv 4.2.0/apps/traincascade                                                                                                                                                   |         21 |     11,564 |      1,204 |      2,374 |     15,142 |
| Thirdparty/OpenCv 4.2.0/apps/version                                                                                                                                                        |          1 |         69 |          3 |         13 |         85 |
| Thirdparty/OpenCv 4.2.0/apps/visualisation                                                                                                                                                  |          1 |        247 |         94 |         24 |        365 |
| Thirdparty/OpenCv 4.2.0/cmake                                                                                                                                                               |        109 |     12,376 |         13 |      1,640 |     14,029 |
| Thirdparty/OpenCv 4.2.0/cmake (Files)                                                                                                                                                       |         59 |     10,766 |          0 |      1,375 |     12,141 |
| Thirdparty/OpenCv 4.2.0/cmake/FindCUDA                                                                                                                                                      |          3 |        418 |          0 |         74 |        492 |
| Thirdparty/OpenCv 4.2.0/cmake/android                                                                                                                                                       |          3 |        603 |          0 |         90 |        693 |
| Thirdparty/OpenCv 4.2.0/cmake/checks                                                                                                                                                        |         35 |        550 |         13 |         87 |        650 |
| Thirdparty/OpenCv 4.2.0/cmake/checks (Files)                                                                                                                                                |         34 |        508 |          8 |         78 |        594 |
| Thirdparty/OpenCv 4.2.0/cmake/checks/runtime                                                                                                                                                |          1 |         42 |          5 |          9 |         56 |
| Thirdparty/OpenCv 4.2.0/cmake/platforms                                                                                                                                                     |          9 |         39 |          0 |         14 |         53 |
| Thirdparty/OpenCv 4.2.0/data                                                                                                                                                                |         36 |    668,337 |     57,329 |         38 |    725,704 |
| Thirdparty/OpenCv 4.2.0/data/haarcascades                                                                                                                                                   |         17 |    350,716 |      1,255 |         17 |    351,988 |
| Thirdparty/OpenCv 4.2.0/data/haarcascades_cuda                                                                                                                                              |         13 |    304,742 |     55,672 |         14 |    360,428 |
| Thirdparty/OpenCv 4.2.0/data/hogcascades                                                                                                                                                    |          1 |      3,971 |         15 |          1 |      3,987 |
| Thirdparty/OpenCv 4.2.0/data/lbpcascades                                                                                                                                                    |          5 |      8,908 |        387 |          6 |      9,301 |
| Thirdparty/OpenCv 4.2.0/doc                                                                                                                                                                 |        351 |     38,268 |      1,185 |     10,474 |     49,927 |
| Thirdparty/OpenCv 4.2.0/doc (Files)                                                                                                                                                         |          9 |      1,656 |         37 |         38 |      1,731 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials                                                                                                                                                    |        123 |      9,882 |          1 |      1,574 |     11,457 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials (Files)                                                                                                                                            |          1 |         17 |          0 |         12 |         29 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_assets                                                                                                                                          |         75 |      6,522 |          1 |        468 |      6,991 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core                                                                                                                                            |          4 |        365 |          0 |        102 |        467 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core (Files)                                                                                                                                    |          1 |         10 |          0 |          7 |         17 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_basic_ops                                                                                                                               |          1 |        213 |          0 |         54 |        267 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_image_arithmetics                                                                                                                       |          1 |         49 |          0 |         14 |         63 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_core/js_some_data_structures                                                                                                                    |          1 |         93 |          0 |         27 |        120 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui                                                                                                                                             |          4 |        229 |          0 |         61 |        290 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui (Files)                                                                                                                                     |          1 |          8 |          0 |          7 |         15 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui/js_image_display                                                                                                                            |          1 |         75 |          0 |         21 |         96 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui/js_trackbar                                                                                                                                 |          1 |         59 |          0 |         15 |         74 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_gui/js_video_display                                                                                                                            |          1 |         87 |          0 |         18 |        105 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc                                                                                                                                         |         27 |      1,759 |          0 |        603 |      2,362 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc (Files)                                                                                                                                 |          1 |         45 |          0 |         35 |         80 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_canny                                                                                                                                |          1 |         63 |          0 |         25 |         88 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_colorspaces                                                                                                                          |          1 |         39 |          0 |         13 |         52 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_contours                                                                                                                             |          6 |        507 |          0 |        187 |        694 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_contours (Files)                                                                                                                     |          1 |         16 |          0 |         11 |         27 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_contours/js_contour_features                                                                                                         |          1 |        191 |          0 |         61 |        252 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_contours/js_contour_properties                                                                                                       |          1 |         83 |          0 |         28 |        111 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_contours/js_contours_begin                                                                                                           |          1 |         56 |          0 |         17 |         73 |
| Thirdparty/OpenCv 4.2.0/doc/js_tutorials/js_imgproc/js_contours/js_contours_hierarchy                                                                                                       |          1 |        107 |          0 |         52 |        159 |
